threshold,alpha,mae,rmse,prec,recall
0.0,1,0.8679745493107105,1.1296167200658753,0.3247083775185578,0.3247083775185578
0.06666666666666844,1,0.8679745493107105,1.1296167200658753,0.3247083775185578,0.3247083775185578
0.13333333333333688,1,0.8679745493107105,1.1296167200658753,0.3247083775185578,0.3247083775185578
0.20000000000000534,8,0.8196182396606575,1.0880143315131205,0.34931071049840934,0.34931071049840934
0.26666666666667377,8,0.7545068928950159,1.027253232979074,0.3813361611876988,0.3813361611876988
0.3333333333333422,8,0.7308589607635206,1.002436057202896,0.3931071049840933,0.3931071049840933
0.4000000000000106,7,0.7300106044538707,1.001271725821193,0.3931071049840933,0.3931071049840933
0.46666666666667905,5,0.7295864262990456,1.0014835231214616,0.39395546129374337,0.39395546129374337
0.5333333333333475,5,0.7300106044538707,1.0018011351141567,0.39331919406150584,0.39331919406150584
0.600000000000016,5,0.7301166489925769,1.002171555217447,0.3934252386002121,0.3934252386002121
0.6666666666666844,5,0.7301166489925769,1.002171555217447,0.3934252386002121,0.3934252386002121
