meds_count;alpha;mae;rmse
10;3;0.731;1.002
15;1;0.73;1.001
20;2;0.731;1.003
25;1;0.732;1.002
30;6;0.731;1.004
35;6;0.736;1.009
40;1;0.734;1.005
45;1;0.731;1.004
50;7;0.734;1.005
55;1;0.74;1.011
60;2;0.738;1.008
65;1;0.74;1.013
70;1;0.741;1.014
75;8;0.743;1.015
80;7;0.739;1.012
85;6;0.742;1.014
90;8;0.743;1.016
95;3;0.743;1.016
100;6;0.746;1.019
105;1;0.742;1.016
110;4;0.742;1.013
115;1;0.747;1.022
120;1;0.747;1.018
125;4;0.749;1.022
130;3;0.749;1.02
135;3;0.747;1.019
140;5;0.742;1.014
145;3;0.753;1.027
150;2;0.75;1.022
155;8;0.745;1.018
160;1;0.747;1.018
165;3;0.75;1.021
170;5;0.758;1.029
175;8;0.748;1.021
180;8;0.752;1.022
185;3;0.752;1.025
190;8;0.758;1.032
195;3;0.761;1.032
200;3;0.757;1.03
205;3;0.75;1.023
210;2;0.762;1.033
215;3;0.757;1.03
220;8;0.759;1.032
225;1;0.76;1.033
230;3;0.758;1.032
235;1;0.764;1.035
240;1;0.77;1.043
245;3;0.764;1.04
250;8;0.765;1.036
255;5;0.767;1.039
260;6;0.766;1.037
265;5;0.761;1.038
270;1;0.766;1.041
275;1;0.769;1.039
280;2;0.771;1.044
285;5;0.763;1.04
290;5;0.765;1.041
295;8;0.77;1.042
300;1;0.763;1.037
305;7;0.774;1.048
310;2;0.768;1.039
315;4;0.765;1.038
320;5;0.776;1.048
325;7;0.767;1.04
330;2;0.766;1.04
335;1;0.772;1.046
340;1;0.773;1.043
345;8;0.777;1.05
350;6;0.772;1.045
355;6;0.784;1.057
360;4;0.778;1.053
365;3;0.779;1.056
370;6;0.777;1.046
375;1;0.78;1.049
380;8;0.785;1.056
385;4;0.781;1.055
390;3;0.772;1.045
395;8;0.78;1.058
400;1;0.789;1.059
405;2;0.782;1.053
410;4;0.786;1.059
415;7;0.778;1.052
420;1;0.787;1.059
425;3;0.785;1.059
430;3;0.776;1.048
435;2;0.78;1.051
440;8;0.788;1.059
445;1;0.793;1.067
450;1;0.786;1.06
455;8;0.793;1.063
460;6;0.788;1.059
465;2;0.799;1.072
470;6;0.794;1.069
475;1;0.792;1.063
480;7;0.789;1.062
485;3;0.79;1.06
490;3;0.792;1.062
495;3;0.792;1.061
500;7;0.796;1.066
505;1;0.79;1.061
510;1;0.787;1.062
515;1;0.797;1.071
520;1;0.792;1.062
525;1;0.799;1.068
530;6;0.789;1.062
535;2;0.796;1.067
540;4;0.794;1.068
545;3;0.791;1.063
550;3;0.812;1.082
555;2;0.794;1.062
560;1;0.802;1.076
565;1;0.799;1.068
570;3;0.793;1.064
575;2;0.8;1.069
580;4;0.801;1.076
585;1;0.808;1.083
590;3;0.803;1.076
595;3;0.8;1.073
600;6;0.8;1.072
605;3;0.796;1.072
610;7;0.816;1.089
615;1;0.8;1.069
620;8;0.806;1.075
625;8;0.8;1.072
630;7;0.809;1.078
635;3;0.806;1.077
640;2;0.813;1.081
645;3;0.813;1.09
650;3;0.804;1.076
655;1;0.811;1.084
660;7;0.803;1.072
665;7;0.805;1.073
670;3;0.805;1.076
675;1;0.807;1.078
680;8;0.812;1.083
685;1;0.804;1.076
690;2;0.817;1.087
695;1;0.814;1.084
