k;alpha;mae;rmse
10;1;0.733;1.002
15;3;0.734;1.003
20;1;0.732;1.002
25;8;0.732;1.003
30;1;0.732;1.002
35;1;0.732;1.002
40;7;0.731;1.001
45;7;0.73;1.001
50;1;0.73;1.001
55;6;0.73;1.001
60;6;0.731;1.001
65;8;0.73;1.001
70;2;0.731;1.001
75;1;0.731;1.001
80;3;0.731;1.001
85;1;0.73;1
90;5;0.731;1.001
95;8;0.731;1.001
100;4;0.731;1.001
105;1;0.73;1.001
110;4;0.73;1.001
115;1;0.729;0.999
120;4;0.728;0.999
125;1;0.73;1
130;1;0.729;0.999
135;6;0.728;0.999
140;1;0.728;0.999
145;1;0.729;0.999
150;1;0.729;1
155;8;0.73;1
160;8;0.73;1.001
165;5;0.73;1
170;1;0.73;1
175;8;0.73;1.001
180;7;0.73;1.001
185;6;0.73;1.001
190;1;0.73;1.001
195;1;0.73;1.001
200;1;0.73;1.001
205;1;0.73;1
210;8;0.73;1.001
215;1;0.73;1
220;1;0.73;1.001
225;1;0.73;1.001
230;2;0.73;1.001
235;6;0.73;1.001
240;1;0.73;1.001
245;1;0.73;1.001
250;1;0.73;1.001
255;7;0.73;1.001
260;8;0.73;1.001
265;1;0.73;1.002
270;3;0.73;1.001
275;3;0.73;1.001
280;1;0.73;1.001
285;1;0.729;1
290;1;0.729;1
295;1;0.73;1.001
300;5;0.729;1.001
305;6;0.73;1.001
310;8;0.73;1.001
315;1;0.729;1
320;8;0.729;1
325;1;0.729;1
330;1;0.729;1.001
335;1;0.729;1.001
340;6;0.729;1.001
345;4;0.729;1
350;7;0.73;1.001
355;6;0.729;1
360;7;0.729;1
365;8;0.729;1.001
370;8;0.729;1
375;3;0.729;1.001
380;1;0.729;1.001
385;1;0.729;1.001
390;7;0.73;1.001
395;1;0.73;1.001
400;1;0.729;1.001
405;8;0.729;1
410;1;0.729;1.001
415;1;0.729;1.001
420;8;0.729;1
425;2;0.729;1.001
430;1;0.729;1.001
435;8;0.729;1.001
440;8;0.729;1
445;1;0.729;1.001
450;1;0.729;1.001
455;1;0.729;1.001
460;5;0.729;1
465;1;0.73;1.001
470;1;0.729;1
475;3;0.729;1
480;7;0.729;1
485;6;0.73;1
490;1;0.73;1.001
495;1;0.73;1
500;4;0.729;0.999
505;8;0.729;1
510;5;0.73;1
515;1;0.729;1
520;6;0.729;0.999
525;1;0.729;1
530;1;0.729;1
535;6;0.729;0.999
540;8;0.729;0.999
545;8;0.729;1
550;6;0.73;1
555;6;0.73;1.001
560;1;0.73;1.001
565;1;0.73;1.001
570;6;0.73;1.001
575;4;0.729;1.001
580;1;0.729;1
585;1;0.729;1.001
590;1;0.729;1
595;5;0.729;1.001
600;1;0.729;1.001
605;6;0.73;1.001
610;1;0.729;1.001
615;1;0.73;1.001
620;3;0.73;1.001
625;1;0.73;1
630;8;0.73;1.001
635;2;0.73;1.001
640;2;0.73;1.001
645;1;0.73;1.001
650;7;0.73;1.001
655;1;0.73;1.001
660;6;0.729;1.001
665;4;0.729;1.001
670;1;0.73;1.001
675;1;0.73;1.001
680;4;0.73;1.001
685;8;0.729;1.001
690;2;0.729;1.001
695;1;0.729;1.001
