med_count,mae,rmse,prec,recall
10,0.7285259809119831,1.0003180830277125,0.46289759157736327,0.2761170071933846
15,0.7292682926829268,1.0013246793461432,0.47702803435569996,0.27664888288227407
20,0.7293743372216331,1.0009539458420216,0.4616407855320543,0.2755236708645309
25,0.7299045599151643,1.0028062427764555,0.4711704535741223,0.2761370570592645
30,0.7295864262990456,1.0013776300708752,0.46820883722903484,0.27626156836187377
35,0.7328738069989396,1.006289868828085,0.46385205035205035,0.27562055842489575
40,0.7319194061505833,1.0038103440326018,0.45940861884097356,0.27465844220511176
45,0.7336161187698833,1.004443996075105,0.46793048491387446,0.273776411504722
50,0.7369034994697773,1.0082901331347451,0.45116127561410124,0.2718981053763769
55,0.7361611876988335,1.0073957690098148,0.4474433358193397,0.2731566978134629
60,0.7367974549310711,1.0084478797602785,0.4700962916442597,0.2736928194291191
65,0.7354188759278897,1.008710735982587,0.4679748674360168,0.27367980448075285
70,0.7383881230116649,1.0097614766174523,0.4593346942112587,0.27360657912335967
75,0.7336161187698833,1.0071852149749076,0.4460802288343942,0.2744790289323954
80,0.736373276776246,1.0089735237260011,0.44741188424328493,0.2742233370502103
85,0.7402969247083775,1.0126977504804717,0.4643677179435989,0.27208441064391153
90,0.7422057264050901,1.012174040588448,0.45651882584861436,0.2711340025301598
